identifier,gidro_num,namelong,lat,lon,namewater,codbasin
49053,49053,КАЛЕВАЛА - Р.НОРBИ-ЙОКИ,65.18,31.23,Р.НОРBИ-ЙОКИ,020
49054,49054,УСТЬЕ - Р.КЕРКЕШЬ,65.16,31.3,Р.КЕРКЕШЬ,020
49055,49055,АНДРОНОВА ГОРА - Р.ЧИРКО-КЕМЬ,64.15,32.38,Р.ЧИРКО-КЕМЬ,020
49058,49058,ЮШКОЗЕРО - Р.ЧИРКО-КЕМЬ,64.73,32.11,Р.ЧИРКО-КЕМЬ,020
49070,49070,ШУЕРЕЦКОЕ - Р.ШУЯ,64.7448888888889,34.6907777777778,Р.ШУЯ,020
49083,49083,БЕЛОМОРСК - Р.НИЖНИЙ BЫГ,64.5233055555556,34.7474722222222,Р.НИЖНИЙ BЫГ,020
49090,49090,ОГОРЕЛЫШИ - Р.BЕРХНИЙ BЫГ,63.01,35.66,Р.BЕРХНИЙ BЫГ,020
49093,49093,СЕРГИЕВО - Р.ЛЕКСА,62.91,36.01,Р.ЛЕКСА,020
49094,49094,ВОЖМОЗЕРО - Р.BОЖМА,63.31,35.81,Р.BОЖМА,020
49095,49095,ВОЖМОГОРА - Р.УНДУЖА,63.27,35.29,Р.УНДУЖА,020
49099,49099,ИЛЬИНА ГОРА - Р.ЛУЖМА,63.21,33.28,Р.ЛУЖМА,020
49103,49103,ВЕНГИГОРА - Р.BОЛОМА,63.55,33.06,Р.BОЛОМА,020
49110,49110,ЛОСОСИЙ ПОРОГ - Р.ОНДА,63.86,34.13,Р.ОНДА,020
49114,49114,ЧЕРНЫЙ ПОРОГ - Р.ОНИГМА,64.0,33.65,Р.ОНИГМА,020
49120,49120,ЛЕТНИЙ 1-Й - Р.ЛЕТНЯЯ,64.26,34.38,Р.ЛЕТНЯЯ,020
49123,49123,СУМСКИЙ ПОСАД - Р.СУМА,64.2481388888889,35.4219166666667,Р.СУМА,020
49125,49125,НЮХЧА - Р.НЮХЧА,63.9173888888889,36.2316111111111,Р.НЮХЧА,020
49126,49126,МАЛОШУЙКА - Р.МАЛОШУЙКА,63.75,37.4,Р.МАЛОШУЙКА,020
49127,49127,ПЯОЗЕРСКИЙ - Р.ПОНЧА,65.8,31.06,Р.ПОНЧА,020
49128,49128,КЕСТЕНЬГА - Р.ТАКА,65.9,31.88,Р.ТАКА,020
49129,49129,КЕПА - Р.КЕПА,65.18,32.06,Р.КЕПА,020
49130,49130,ТУНГОЗЕРО - Р.МИНИНЬКА,65.76,31.23,Р.МИНИНЬКА,020
49135,49135,КОСТОМУКША - Р.КОНТОККИ,64.56,30.58,Р.КОНТОККИ,020
49149,49149,НОВОЕ МАШОЗЕРО - Р.ТУНГУДА,64.41,33.4,Р.ТУНГУДА,020
49904,49904,"КЕСТЕНЬГА - ВДХР.КУМСКОЕ, ОЗ.ТОПОЗЕРО",65.88,31.81,"ВДХР.КУМСКОЕ, ОЗ.ТОПОЗЕРО",020
49907,49907,ЗАШЕЕК - ВДХР.КУМСКОЕ (ОЗ.ПЯОЗЕРО),66.15,31.07,ВДХР.КУМСКОЕ (ОЗ.ПЯОЗЕРО),020
49921,49921,ЭНГОЗЕРО - ОЗ.ЭНГОЗЕРО,65.7901388888889,33.9410833333333,ОЗ.ЭНГОЗЕРО,020
49923,49923,ВОКНАВОЛОК - ОЗ.BЕРХНЕЕ КУЙТО,64.95,30.55,ОЗ.BЕРХНЕЕ КУЙТО,020
49926,49926,КАЛЕВАЛА - ВДХР.ЮШКОЗЕРСКОЕ,65.2,31.18,ВДХР.ЮШКОЗЕРСКОЕ,020
49927,49927,ЛУУСАЛМА - BДХР.ЮШКОЗЕРСКОЕ,65.05,31.56,BДХР.ЮШКОЗЕРСКОЕ,020
49939,49939,НАДВОИЦЫ - ВДХР.ВЫГОЗЕРСКОЕ,63.86,34.33,ВДХР.ВЫГОЗЕРСКОЕ,020
49939,49939,НАДВОИЦЫ - BДХР.BЫГОЗЕРСКОЕ,63.87,34.33,BДХР.BЫГОЗЕРСКОЕ,020
